Concrete,Strand,Rebar,Span_ft,Gir Dep (in),Lat Spac (ft),No. of Gir,bot flange bot part depth (in),bot flange bot part width (in),Number of strand per girder,Harp Pos (ft),Combo,Design_Rank,Family_ID
405.0,1.26,2.18,100.0,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263,1.0,1,405.0_1.26_2.18_100.0
405.0,1.26,2.18,100.0,69.98425197,7.166666667,6.0,11.64705882,9.209448819,40.0,39.66929134,1.0,2,405.0_1.26_2.18_100.0
405.0,1.26,2.18,100.0,66.96062992,6.142857143,7.0,2.411764706,48.63982002,36.0,46.22047244,1.0,3,405.0_1.26_2.18_100.0
405.0,1.26,2.18,100.0,56.62992126,5.375,8.0,10.88235294,30.21850394,40.0,40.67716535,1.0,4,405.0_1.26_2.18_100.0
405.0,1.26,2.18,100.0,62.92913386,7.166666667,6.0,5.470588235,21.3984252,42.0,43.95275591,1.0,5,405.0_1.26_2.18_100.0
505.0,1.26,2.18,100.0,66.70866142,7.166666667,6.0,8.352941176,16.52283465,42.0,35.63779528,4.0,1,505.0_1.26_2.18_100.0
505.0,1.26,2.18,100.0,67.21259843,6.142857143,7.0,10.0,14.6848144,38.0,43.32283465,4.0,2,505.0_1.26_2.18_100.0
505.0,1.26,2.18,100.0,49.32283465,5.375,8.0,13.64705882,37.98897638,48.0,40.67716535,4.0,3,505.0_1.26_2.18_100.0
505.0,1.26,2.18,100.0,55.11811024,7.166666667,6.0,5.235294118,46.38582677,46.0,45.08661417,4.0,4,505.0_1.26_2.18_100.0
505.0,1.26,2.18,100.0,70.23622047,7.166666667,6.0,3.0,17.13228346,42.0,41.55905512,4.0,5,505.0_1.26_2.18_100.0
600.0,1.26,2.18,100.0,68.47244094,6.142857143,7.0,10.76470588,17.29673791,38.0,39.41732283,7.0,1,600.0_1.26_2.18_100.0
600.0,1.26,2.18,100.0,71.7480315,7.166666667,6.0,9.823529412,9.818897638,40.0,39.54330709,7.0,2,600.0_1.26_2.18_100.0
600.0,1.26,2.18,100.0,68.47244094,6.142857143,7.0,10.76470588,17.29673791,38.0,39.41732283,7.0,3,600.0_1.26_2.18_100.0
600.0,1.26,2.18,100.0,47.55905512,5.375,8.0,11.11764706,34.78937008,48.0,48.11023622,7.0,4,600.0_1.26_2.18_100.0
600.0,1.26,2.18,100.0,71.24409449,7.166666667,6.0,10.88235294,19.57007874,40.0,48.11023622,7.0,5,600.0_1.26_2.18_100.0
405.0,1.73,2.82,100.0,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263,2.0,1,405.0_1.73_2.82_100.0
405.0,1.73,2.82,100.0,69.22834646,7.166666667,6.0,2.588235294,31.75905512,38.0,38.66141732,2.0,2,405.0_1.73_2.82_100.0
405.0,1.73,2.82,100.0,66.96062992,6.142857143,7.0,2.411764706,48.63982002,36.0,46.22047244,2.0,3,405.0_1.73_2.82_100.0
405.0,1.73,2.82,100.0,67.21259843,7.166666667,6.0,5.176470588,27.49291339,40.0,34.88188976,2.0,4,405.0_1.73_2.82_100.0
405.0,1.73,2.82,100.0,69.22834646,7.166666667,6.0,5.705882353,18.3511811,40.0,41.05511811,2.0,5,405.0_1.73_2.82_100.0
505.0,1.73,2.82,100.0,66.96062992,7.166666667,6.0,4.411764706,29.32125984,38.0,35.38582677,5.0,1,505.0_1.73_2.82_100.0
505.0,1.73,2.82,100.0,67.21259843,6.142857143,7.0,4.058823529,24.08773903,34.0,35.00787402,5.0,2,505.0_1.73_2.82_100.0
505.0,1.73,2.82,100.0,70.99212598,6.142857143,7.0,5.117647059,23.04296963,34.0,40.42519685,5.0,3,505.0_1.73_2.82_100.0
505.0,1.73,2.82,100.0,66.96062992,7.166666667,6.0,6.529411765,17.74173228,38.0,34.2519685,5.0,4,505.0_1.73_2.82_100.0
505.0,1.73,2.82,100.0,54.86614173,5.375,8.0,7.235294118,38.44606299,40.0,49.11811024,5.0,5,505.0_1.73_2.82_100.0
600.0,1.73,2.82,100.0,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263,8.0,1,600.0_1.73_2.82_100.0
600.0,1.73,2.82,100.0,67.46456693,7.166666667,6.0,4.0,28.1023622,38.0,41.05511811,8.0,2,600.0_1.73_2.82_100.0
600.0,1.73,2.82,100.0,59.90551181,5.375,8.0,5.823529412,32.50393701,36.0,38.53543307,8.0,3,600.0_1.73_2.82_100.0
