,Gir Dep (in),Lat Spac (ft),No. of Gir,bot flange bot part depth (in),bot flange bot part width (in),Number of strand per girder,Harp Pos (ft)
93,71.49606299,7.166666667,6.0,8.588235294,64.05984252,90.0,39.05098039
22,67.21259843,7.166666667,6.0,4.0,28.71181102,38.0,36.51968504
111,72.0,3.583333333,12.0,8.294117647,23.8023622,74.0,59.69411765
20,67.71653543,6.142857143,7.0,14.52941176,7.893813273,44.0,35.51181102
85,70.48818898,7.166666667,6.0,8.235294118,68.93543307,90.0,40.49411765
110,69.73228346,3.909090909,11.0,8.235294118,31.617466,88.0,71.55294118
88,70.74015748,7.166666667,6.0,8.411764706,52.48031496,96.0,58.35294118
76,66.70866142,6.142857143,7.0,12.35294118,70.5799775,92.0,70.8
36,70.23622047,7.166666667,6.0,11.41176471,29.32125984,54.0,36.2519685
55,71.7480315,6.142857143,7.0,13.05882353,17.81912261,66.0,43.17647059
39,70.23622047,7.166666667,6.0,7.352941176,31.75905512,52.0,39.93700787
104,72.0,4.777777778,9.0,6.352941176,52.86404199,88.0,75.28627451
82,60.66141732,6.142857143,7.0,8.411764706,54.90843645,102.0,57.99215686
27,69.48031496,7.166666667,6.0,10.0,26.27401575,54.0,40.34645669
77,71.24409449,7.166666667,6.0,7.529411765,35.41574803,92.0,52.58039216
112,71.24409449,3.909090909,11.0,8.588235294,28.62562634,76.0,85.38823529
59,68.72440945,7.166666667,6.0,7.470588235,28.1023622,74.0,49.52941176
72,68.97637795,6.142857143,7.0,14.29411765,67.96805399,84.0,57.45098039
105,72.0,4.777777778,9.0,8.647058824,44.73805774,88.0,76.38431373
42,69.48031496,7.166666667,6.0,9.588235294,35.41574803,54.0,34.0
17,69.22834646,7.166666667,6.0,3.0,34.19685039,38.0,40.67716535
96,71.24409449,5.375,8.0,7.588235294,41.18858268,114.0,55.96078431
101,70.48818898,5.375,8.0,8.823529412,38.90314961,116.0,54.64313725
62,68.22047244,4.777777778,9.0,12.0,26.45459318,60.0,47.69411765
99,72.0,4.777777778,9.0,8.588235294,47.58215223,88.0,74.84705882
24,69.22834646,7.166666667,6.0,8.764705882,34.80629921,54.0,37.88976378
116,69.48031496,4.777777778,9.0,6.176470588,43.92545932,114.0,76.16470588
5,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263
23,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263
63,71.7480315,7.166666667,6.0,12.76470588,35.41574803,70.0,47.55294118
75,61.92125984,6.142857143,7.0,6.823529412,38.71451069,98.0,34.0
58,62.42519685,6.142857143,7.0,5.529411765,50.20697413,76.0,34.84705882
106,71.49606299,4.777777778,9.0,7.588235294,39.04986877,106.0,87.36470588
60,69.48031496,5.375,8.0,10.64705882,39.81732283,58.0,44.58823529
1,66.70866142,7.166666667,6.0,8.352941176,16.52283465,42.0,35.63779528
80,71.24409449,7.166666667,6.0,9.0,51.87086614,94.0,34.0
100,71.7480315,3.909090909,11.0,7.823529412,37.93357194,78.0,34.65882353
90,70.23622047,7.166666667,6.0,9.529411765,38.46299213,94.0,35.98431373
87,71.49606299,7.166666667,6.0,5.941176471,47.60472441,90.0,34.36078431
113,67.96850394,4.777777778,9.0,6.176470588,44.73805774,118.0,62.76862745
97,72.0,4.777777778,9.0,8.588235294,43.5191601,104.0,47.61568627
71,67.21259843,6.142857143,7.0,7.764705882,38.19212598,66.0,48.4
34,68.97637795,7.166666667,6.0,7.647058824,16.52283465,54.0,34.61417323
51,70.74015748,7.166666667,6.0,8.823529412,39.68188976,68.0,37.10588235
2,68.47244094,6.142857143,7.0,10.76470588,17.29673791,38.0,39.41732283
32,69.48031496,7.166666667,6.0,8.235294118,28.1023622,54.0,35.43307087
29,69.22834646,7.166666667,6.0,8.117647059,34.80629921,54.0,36.86614173
67,66.70866142,5.375,8.0,5.529411765,24.73346457,64.0,34.56470588
115,66.96062992,3.909090909,11.0,7.470588235,36.60386543,92.0,56.61960784
74,71.24409449,6.142857143,7.0,4.764705882,44.46074241,92.0,75.30980392
54,71.24409449,7.166666667,6.0,5.588235294,30.54015748,70.0,38.37647059
9,70.23622047,7.166666667,6.0,8.352941176,20.17952756,40.0,39.41732283
53,70.48818898,6.142857143,7.0,6.647058824,40.28166479,68.0,60.25882353
94,71.49606299,7.166666667,6.0,8.588235294,48.82362205,92.0,56.90980392
16,72.0,6.142857143,7.0,3.823529412,24.08773903,34.0,39.66929134
117,71.7480315,5.375,8.0,6.411764706,50.78740157,94.0,41.24705882
25,69.48031496,7.166666667,6.0,10.17647059,22.61732283,54.0,37.07086614
78,69.73228346,5.375,8.0,7.705882353,42.10275591,76.0,45.36470588
114,72.0,4.777777778,9.0,7.823529412,40.2687664,102.0,40.58823529
30,68.97637795,7.166666667,6.0,7.294117647,34.19685039,54.0,52.42519685
15,71.24409449,7.166666667,6.0,6.823529412,18.3511811,40.0,37.77952756
41,71.24409449,7.166666667,6.0,4.647058824,37.85354331,56.0,50.58267717
44,69.73228346,7.166666667,6.0,7.529411765,20.17952756,54.0,40.14173228
57,71.24409449,7.166666667,6.0,5.705882353,64.66929134,68.0,40.63529412
102,69.73228346,4.3,10.0,6.352941176,38.8015748,106.0,50.47058824
108,67.21259843,4.777777778,9.0,6.176470588,48.80104987,116.0,63.86666667
18,67.46456693,6.142857143,7.0,3.941176471,25.13250844,34.0,39.03937008
50,67.96850394,7.166666667,6.0,5.705882353,33.58740157,74.0,46.42352941
92,69.98425197,6.142857143,7.0,5.882352941,38.19212598,90.0,58.35294118
48,72.0,7.166666667,6.0,3.058823529,37.85354331,72.0,57.57647059
69,70.23622047,7.166666667,6.0,11.64705882,21.3984252,72.0,41.62352941
4,66.96062992,7.166666667,6.0,4.411764706,29.32125984,38.0,35.38582677
21,70.23622047,7.166666667,6.0,9.176470588,26.88346457,38.0,38.78740157
43,69.48031496,7.166666667,6.0,7.882352941,34.80629921,54.0,44.64566929
3,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263
11,62.92913386,6.142857143,7.0,6.294117647,15.2071991,40.0,45.71653543
8,62.67716535,7.166666667,6.0,14.29411765,39.68188976,42.0,38.91338583
0,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263
98,72.0,5.375,8.0,6.882352941,37.98897638,96.0,45.41960784
64,63.93700787,6.142857143,7.0,4.764705882,38.19212598,72.0,53.76470588
91,60.15748031,6.142857143,7.0,7.529411765,61.17705287,100.0,60.69803922
37,69.22834646,7.166666667,6.0,10.52941176,35.41574803,54.0,48.94488189
70,62.92913386,6.142857143,7.0,10.23529412,51.25174353,72.0,44.58823529
38,57.38582677,6.142857143,7.0,6.411764706,40.80404949,62.0,53.24409449
84,68.47244094,5.375,8.0,11.23529412,35.70354331,84.0,48.43137255
31,70.48818898,7.166666667,6.0,8.764705882,26.88346457,54.0,43.41732283
66,72.0,7.166666667,6.0,2.294117647,69.54488189,66.0,37.52941176
46,71.24409449,7.166666667,6.0,13.05882353,37.24409449,54.0,35.02362205
26,69.22834646,7.166666667,6.0,10.41176471,12.86614173,58.0,35.22834646
12,58.39370079,6.142857143,7.0,14.76470588,33.49066367,42.0,47.1023622
79,70.23622047,7.166666667,6.0,6.588235294,49.43307087,94.0,49.51372549
86,72.0,7.166666667,6.0,8.823529412,48.82362205,96.0,76.75294118
13,56.37795276,7.166666667,6.0,6.588235294,34.19685039,50.0,47.60629921
28,68.97637795,7.166666667,6.0,8.764705882,27.49291339,54.0,41.98425197
52,69.73228346,5.375,8.0,1.352941176,43.01692913,62.0,48.68235294
